Képzés neve,Kinek szól
Egy jó vezető jellemvonásai | Orgován Katalin - Pátria Nyomda Zrt.,Vezetők
Hatékony csapatmotiváció | DMA ponthu Kft. munkatársaival,"Vezetők, Munkatársak"
A válságkezelés módjai | Markovich Béla - Mapei Kft.,"Vezetők, Munkatársak"
Hogyan árazd be a termékeid? | Káplár Kornél és András - Káplár Fatelep Kft.,Vezetők
Hogyan indíts el egy Google hirdetést?,"Vezetők, Munkatársak"
Hogyan indíts el egy Facebook hirdetést?,"Vezetők, Munkatársak"
Munkatárs megtalálás | Mihályi László - Mihályi Patisserie,Vezetők
Hogyan legyél első a Google-ben?,"Vezetők, Munkatársak"
Hogyan érd el az álmaidat? | Garzó Gabriella - Polgári Agrokémia Kft.,"Vezetők, Munkatársak"
"Hogyan vegyél rá valakit, hogy termeljen?","Vezetők, Munkatársak"
Hogy legyenek motiváltabb munkatársaid? | Barabás Botond - Mag-Log Transport Kft.,"Vezetők, Munkatársak"
Hogyan legyen profi levelezésed?,"Vezetők, Munkatársak"
Hogyan győzz meg egy vevőt?,"Vezetők, Munkatársak"
Mi módon legyen több időd? | Forray Niki - Balloon World Hungary Kft.,"Vezetők, Munkatársak"
Hogyan ösztönözd vezetőid saját maguk képzésére?,Vezetők
Milyen egy professzionális weboldal?,"Vezetők, Munkatársak"
Hogyan tervezd meg a bevételeid?,"Vezetők, Munkatársak"
Érdeklődők lezárása 1 perc alatt,"Vezetők, Munkatársak"
"Hogy zárj le egy értékesítést 1 perc alatt? | Farkas Bálint, Baranyai Örs, Pócs Bálint - Follow Marketing Kft.","Vezetők, Munkatársak"
Hogyan növeld meg a profitod?,Vezetők
Hogyan szervezd ki magad a cégből?,Vezetők
Milyen módon találj meg munkatársakat? | Vasvenszki Zsolt - Manitox Kft.,"Vezetők, Munkatársak"
Hogyan motiváld magad vezetőként?,Vezetők
Hogyan öltöztesd munkatársaid professzionálisan?,Vezetők
Mit tegyél egy generációváltás során?,"Vezetők, Munkatársak"
Miért ne add el a termékeid?,"Vezetők, Munkatársak"
Hogyan emeld az érzelmi szintedet?,"Vezetők, Munkatársak"
Hogyan készíts felmérést?,"Vezetők, Munkatársak"
Érdeklődés felkeltése 3 lépésben,"Vezetők, Munkatársak"
"Mit tegyél, ha kimerült vagy?","Vezetők, Munkatársak"
Hogyan veszik el az idődet a lezáratlan dolgok?,"Vezetők, Munkatársak"
Hogyan készíts álláshirdetést Facebookon?,"Vezetők, Munkatársak"
Miért nem érkezik be soha időben a pénzed?,"Vezetők, Munkatársak"
Miként zárj le gyorsan dolgokat?,"Vezetők, Munkatársak"
Hogy kommunikálj eredményesen?,"Vezetők, Munkatársak"
Miért kellenek Irányelvek az ügyfeleid felé?,"Vezetők, Munkatársak"
Hogyan tartson össze a csapatod?,Vezetők
Hogyan kontrolláld a környezeted?,"Vezetők, Munkatársak"
Hogyan találd meg a saját motivációd?,"Vezetők, Munkatársak"
Hogyan válhat piacvezető a te cégedből?,Vezetők
Miként nézzen ki saját karrieroldalad?,"Vezetők, Munkatársak"
Hogyan lehet motivált az egész csapatod?,Vezetők
Hogyan válj motiválttá?,"Vezetők, Munkatársak"
